site_code,etiqueta,categoria,dispositivo,marca,modelo,sn,mac,numero,alias_operativo,estado,prestada,comentarios,rol,ubicacion,motivo,fecha_prestado,fecha_devuelto,ultima_modificacion
,D0753,,Chromebook,,Dell,,,1,,Disponible,,,,,,,,
,D0757,,Chromebook,,Dell,,,2,,Disponible,,,,,,,,
,D0828,,Chromebook,,Dell,,,3,,Disponible,,,,,,,,
,D0755,,Chromebook,,Dell,,,4,,Disponible,,,,,,,,
,D0756,,Chromebook,,Dell,,,5,,Disponible,,,,,,,,
,D0754,,Chromebook,,Dell,,,6,,Disponible,,,,,,,,
,D0750,,Chromebook,,Dell,,,7,,Disponible,,,,,,,,
,D1388,,Chromebook,,Tic,,,1,,Disponible,,,,,,,,
,D1391,,Chromebook,,Tic,,,2,,Disponible,,,,,,,,
,D1338,,Chromebook,,Tic,,,3,,Disponible,,,,,,,,
,D1337,,Chromebook,,Tic,,,4,,Disponible,,,,,,,,
,D0184,,Chromebook,,Touch,,,1,,Disponible,,,,,,,,
,D0174,,Chromebook,,Touch,,,2,,Disponible,,,,,,,,
,D0168,,Chromebook,,Touch,,,3,,Disponible,,,,,,,,
,D0173,,Chromebook,,Touch,,,4,,Disponible,,,,,,,,
,D0166,,Chromebook,,Touch,,,5,,Disponible,,,,,,,,
,D0169,,Chromebook,,Touch,,,6,,Disponible,,,,,,,,
,D0172,,Chromebook,,Touch,,,7,,Disponible,,,,,,,,
,D0164,,Chromebook,,Touch,,,8,,Disponible,,,,,,,,
,D0159,,Chromebook,,Touch,,,9,,Disponible,,,,,,,,
,D0185,,Chromebook,,Touch,,,10,,Disponible,,,,,,,,
,D0161,,Chromebook,,Touch,,,11,,Disponible,,,,,,,,
,D0179,,Chromebook,,Touch,,,12,,Disponible,,,,,,,,
,D0176,,Chromebook,,Touch,,,13,,Disponible,,,,,,,,
,D0160,,Chromebook,,Touch,,,14,,Prestado,,,,,,,,
,D0182,,Chromebook,,Touch,,,15,,Disponible,,,,,,,,
,D0163,,Chromebook,,Touch,,,16,,Disponible,,,,,,,,
,D0178,,Chromebook,,Touch,,,17,,Disponible,,,,,,,,
,D0165,,Chromebook,,Touch,,,18,,Fuera de servicio,,,,,,,,
