"","Modelo","Etiqueta 2023","Numero","Devuelto","Comentarios","Prestada","Fecha prestado","Fecha devuelto","Última modificación","Rol","Ubicación","Motivo"
"","Dell","D0753","1","Devuelto","","","28/04/2026","28/04/2026","28/04/2026","","",""
"","Dell","D0757","2","Devuelto","","","","","","","",""
"","Dell","D0828","3","Devuelto","","","30/4/2026, 10:30:04","3/5/2026, 11:51:37","3/5/2026, 11:51:37","","",""
"","Dell","D0755","4","Devuelto","","","","","","","",""
"","Dell","D0756","5","Devuelto","","","","","","","",""
"","Dell","D0754","6","Devuelto","","","","","","","",""
"","Dell","D0750","7","Devuelto","","","","","","","",""
"","Tic","D1388","1","Devuelto","","","29/4/2026, 08:22:58","29/4/2026, 16:33:55","29/4/2026, 16:33:55","","",""
"","Tic","D1391","2","Devuelto","","","29/4/2026, 08:22:17","29/4/2026, 22:42:14","29/4/2026, 22:42:14","","",""
"","Tic","D1338","3","Devuelto","","","30/4/2026, 08:36:28","30/4/2026, 11:40:44","30/4/2026, 11:40:44","","",""
"","Tic","D1337","4","Devuelto","","","30/4/2026, 08:37:29","30/4/2026, 12:39:30","30/4/2026, 12:39:30","","",""
"","Touch","D0184","1","Devuelto","","","","","","","",""
"","Touch","D0174","2","Devuelto","","","29/4/2026, 08:51:30","29/4/2026, 20:00:42","29/4/2026, 20:00:42","","",""
"","Touch","D0168","3","Devuelto","","","","","","","",""
"","Touch","D0173","4","Devuelto","","","","","","","",""
"","Touch","D0166","5","Devuelto","","","","","","","",""
"","Touch","D0169","6","Devuelto","","","30/4/2026, 10:43:01","3/5/2026, 11:52:03","3/5/2026, 11:52:03","","",""
"","Touch","D0172","7","Devuelto","","","28/04/2026","28/04/2026","28/04/2026","","",""
"","Touch","D0164","8","Devuelto","","","","","","","",""
"","Touch","D0159","9","Devuelto","","","30/4/2026, 10:50:05","3/5/2026, 11:52:05","3/5/2026, 11:52:05","","",""
"","Touch","D0185","10","Devuelto","","","","","","","",""
"","Touch","D0161","11","Devuelto","","","","","","","",""
"","Touch","D0179","12","Devuelto","","","","","","","",""
"","Touch","D0176","13","Devuelto","","","","","","","",""
"","Touch","D0160","14","Devuelto","","","","","","","",""
"","Touch","D0182","15","Devuelto","","","","","","","",""
"","Touch","D0163","16","Devuelto","","","","","","","",""
"","Touch","D0178","17","Devuelto","","","30/4/2026, 10:51:23","3/5/2026, 11:51:54","3/5/2026, 11:51:54","","",""
"","Touch","D0165","18","Fuera de servicio","","","","","","","",""
"","Touch","D0180","19","Fuera de servicio","","","","","","","",""
"","Touch","D0162","20","Fuera de servicio","","","","","","","",""
"","Touch","D0175","21","Fuera de servicio","","","28/04/2026","28/04/2026","28/04/2026","","",""
"","Touch","D0689","22","Devuelto","","","","","","","",""
"","Touch","D0692","23","Devuelto","","","","","","","",""
"","Touch","D0694","24","Devuelto","","","","","","","",""
"","Touch","D0697","25","Devuelto","","","","","","","",""
"","Touch","D0696","26","Devuelto","","","","","","","",""
"","Touch","D0690","27","Devuelto","","","","","","","",""
"","Touch","D0695","28","Devuelto","","","","","","","",""
"","Touch","D0693","29","Devuelto","","","","","","","",""
"","Touch","D0691","30","Fuera de servicio","","","28/04/2026","28/04/2026","28/04/2026","","",""
"","Touch","D1433","31","Devuelto","","","30/4/2026, 01:51:43","30/4/2026, 01:51:56","30/4/2026, 01:51:56","","",""
"","Touch","D1434","32","Devuelto","","","30/4/2026, 01:52:17","30/4/2026, 01:52:39","30/4/2026, 01:52:39","","",""
"","Touch","D1435","33","Devuelto","","","30/4/2026, 01:15:55","30/4/2026, 01:16:46","30/4/2026, 01:16:46","","",""
"","Touch","D1436","34","Devuelto","","","3/5/2026, 01:14:31","3/5/2026, 11:51:52","3/5/2026, 11:51:52","","",""
"","Touch","D1437","35","Devuelto","","","28/04/2026","28/04/2026","28/04/2026","","",""
"","Touch","D1438","36","Devuelto","","","30/4/2026, 11:41:13","30/4/2026, 11:41:30","30/4/2026, 11:41:30","","",""
"","Touch","D1439","37","Devuelto","","","30/4/2026, 11:39:30","","30/4/2026, 11:39:30","DOE","Aula",""
"","Touch","D1440","38","Devuelto","","","","","","","",""
"","Touch","D1441","39","Devuelto","","","","","","","",""
"","Touch","D1442","40","perdido","","","","","","","",""
"","Plani","d112","1","Devuelto","","","30/4/2026, 10:00:02","30/4/2026, 11:58:13","30/4/2026, 11:58:13","","",""
"","Plani","D1546","2","Devuelto","","","30/4/2026, 10:01:41","3/5/2026, 11:51:47","3/5/2026, 11:51:47","","",""
"","Plani","d116","3","Devuelto","","","30/4/2026, 10:48:02","30/4/2026, 12:33:25","30/4/2026, 12:33:25","","",""
"","Plani","D1547","4","Devuelto","","","30/4/2026, 09:00:39","3/5/2026, 11:51:49","3/5/2026, 11:51:49","","",""
"","Plani","d110","5","Devuelto","","","30/4/2026, 11:28:45","30/4/2026, 12:40:24","30/4/2026, 12:40:24","","",""
"","Plani","d111","6","Devuelto","","","30/4/2026, 11:15:03","3/5/2026, 11:51:42","3/5/2026, 11:51:42","","",""
"","Plani","d118","7","Devuelto","","","","","","","",""
"","Plani","d189","8","Devuelto","","","","28/4/2026, 18:08:37","28/4/2026, 18:08:37","","",""
"","Plani","D109","9","Devuelto","","","","","","","",""
"","Plani","d117","10","Devuelto","","","30/4/2026, 11:32:06","30/4/2026, 11:32:43","30/4/2026, 11:32:43","","",""
"","Plani","d248","11","Devuelto","","","","","","","",""
"","Maker","","","Devuelto","6to n","6to n","","","","","",""
"","Maker","","","Devuelto","6to f","6to f","","","","","",""
"","Maker","","","Devuelto","6to s","6to s","","","","","",""
